,DATE,MinTemp,MaxTemp,AvgTemp,Sunrise,Sunset
59,3/1/2014,41.0,55.0,48.0,642,1828
60,3/2/2014,31.0,45.0,38.0,641,1828
61,3/3/2014,31.0,42.0,37.0,640,1828
62,3/4/2014,34.0,43.0,39.0,640,1829
63,3/5/2014,33.0,46.0,40.0,639,1829
64,3/6/2014,35.0,46.0,41.0,638,1829
65,3/7/2014,34.0,54.0,44.0,637,1830
66,3/8/2014,34.0,43.0,39.0,637,1830
67,3/9/2014,36.0,47.0,42.0,636,1830
68,3/10/2014,32.0,47.0,40.0,635,1831
69,3/11/2014,31.0,49.0,40.0,634,1831
70,3/12/2014,29.0,50.0,40.0,633,1831
71,3/13/2014,33.0,55.0,44.0,632,1832
72,3/14/2014,36.0,51.0,44.0,632,1832
73,3/15/2014,32.0,48.0,40.0,631,1832
74,3/16/2014,31.0,49.0,40.0,630,1832
75,3/17/2014,36.0,53.0,45.0,629,1833
76,3/18/2014,35.0,53.0,44.0,628,1833
77,3/19/2014,35.0,53.0,44.0,627,1833
78,3/20/2014,33.0,48.0,41.0,626,1833
79,3/21/2014,30.0,48.0,39.0,626,1834
80,3/22/2014,30.0,43.0,37.0,625,1834
81,3/23/2014,32.0,45.0,39.0,624,1834
82,3/24/2014,31.0,51.0,41.0,623,1834
83,3/25/2014,34.0,53.0,44.0,622,1835
84,3/26/2014,35.0,55.0,45.0,621,1835
85,3/27/2014,31.0,46.0,39.0,620,1835
86,3/28/2014,29.0,43.0,36.0,620,1835
87,3/29/2014,32.0,39.0,36.0,619,1836
88,3/30/2014,32.0,41.0,37.0,618,1836
89,3/31/2014,31.0,42.0,37.0,617,1836
90,4/1/2014,34.0,45.0,40.0,616,1836
91,4/2/2014,33.0,52.0,43.0,615,1837
92,4/3/2014,36.0,51.0,44.0,614,1837
93,4/4/2014,31.0,50.0,41.0,614,1837
94,4/5/2014,31.0,51.0,41.0,613,1838
95,4/6/2014,35.0,49.0,42.0,612,1838
96,4/7/2014,35.0,49.0,42.0,611,1838
97,4/8/2014,35.0,52.0,44.0,610,1838
98,4/9/2014,36.0,53.0,45.0,610,1839
99,4/10/2014,35.0,55.0,45.0,609,1839
100,4/11/2014,37.0,56.0,47.0,608,1839
101,4/12/2014,36.0,52.0,44.0,607,1839
102,4/13/2014,32.0,49.0,41.0,606,1840
103,4/14/2014,31.0,50.0,41.0,606,1840
104,4/15/2014,36.0,53.0,45.0,605,1840
105,4/16/2014,40.0,59.0,50.0,604,1841
106,4/17/2014,42.0,58.0,50.0,603,1841
107,4/18/2014,43.0,60.0,52.0,602,1841
108,4/19/2014,43.0,60.0,52.0,602,1841
109,4/20/2014,41.0,57.0,49.0,601,1842
110,4/21/2014,40.0,54.0,47.0,600,1842
111,4/22/2014,38.0,58.0,48.0,600,1842
112,4/23/2014,41.0,58.0,50.0,559,1843
113,4/24/2014,41.0,59.0,50.0,558,1843
114,4/25/2014,43.0,59.0,51.0,558,1843
115,4/26/2014,45.0,62.0,54.0,557,1844
116,4/27/2014,42.0,53.0,48.0,556,1844
117,4/28/2014,40.0,53.0,47.0,556,1844
118,4/29/2014,39.0,53.0,46.0,555,1845
119,4/30/2014,37.0,50.0,44.0,554,1845
120,5/1/2014,36.0,53.0,45.0,554,1845
121,5/2/2014,38.0,51.0,45.0,553,1846
122,5/3/2014,36.0,55.0,46.0,553,1846
123,5/4/2014,36.0,55.0,46.0,552,1846
124,5/5/2014,40.0,54.0,47.0,552,1847
125,5/6/2014,40.0,58.0,49.0,551,1847
126,5/7/2014,42.0,60.0,51.0,550,1847
127,5/8/2014,42.0,61.0,52.0,550,1848
128,5/9/2014,44.0,59.0,52.0,550,1848
129,5/10/2014,42.0,56.0,49.0,549,1849
130,5/11/2014,40.0,56.0,48.0,549,1849
131,5/12/2014,38.0,55.0,47.0,548,1849
132,5/13/2014,38.0,56.0,47.0,548,1850
133,5/14/2014,40.0,55.0,48.0,547,1850
134,5/15/2014,41.0,58.0,50.0,547,1851
135,5/16/2014,44.0,60.0,52.0,547,1851
136,5/17/2014,,,,546,1851
137,5/18/2014,43.0,60.0,52.0,546,1852
138,5/19/2014,44.0,60.0,52.0,546,1852
139,5/20/2014,44.0,62.0,53.0,545,1853
140,5/21/2014,47.0,62.0,55.0,545,1853
141,5/22/2014,44.0,59.0,52.0,545,1853
142,5/23/2014,41.0,58.0,50.0,545,1854
143,5/24/2014,39.0,57.0,48.0,544,1854
144,5/25/2014,38.0,52.0,45.0,544,1855
145,5/26/2014,36.0,47.0,42.0,544,1855
146,5/27/2014,35.0,49.0,42.0,544,1855
147,5/28/2014,35.0,51.0,43.0,544,1856
148,5/29/2014,34.0,53.0,44.0,543,1856
149,5/30/2014,36.0,55.0,46.0,543,1856
150,5/31/2014,35.0,51.0,43.0,543,1857
151,6/1/2014,34.0,53.0,44.0,543,1857
152,6/2/2014,36.0,48.0,42.0,543,1858
153,6/3/2014,38.0,53.0,46.0,543,1858
154,6/4/2014,37.0,53.0,45.0,543,1858
155,6/5/2014,40.0,55.0,48.0,543,1859
156,6/6/2014,35.0,52.0,44.0,543,1859
157,6/7/2014,36.0,53.0,45.0,543,1859
158,6/8/2014,42.0,54.0,48.0,543,1900
159,6/9/2014,44.0,57.0,51.0,543,1900
160,6/10/2014,43.0,60.0,52.0,543,1900
161,6/11/2014,42.0,55.0,49.0,543,1901
162,6/12/2014,37.0,53.0,45.0,543,1901
163,6/13/2014,35.0,57.0,46.0,543,1901
164,6/14/2014,37.0,62.0,50.0,544,1902
165,6/15/2014,42.0,60.0,51.0,544,1902
166,6/16/2014,41.0,58.0,50.0,544,1902
167,6/17/2014,37.0,52.0,45.0,544,1902
168,6/18/2014,36.0,51.0,44.0,544,1903
169,6/19/2014,40.0,57.0,49.0,544,1903
170,6/20/2014,39.0,52.0,46.0,545,1903
171,6/21/2014,35.0,48.0,42.0,545,1903
172,6/22/2014,37.0,53.0,45.0,545,1904
173,6/23/2014,41.0,60.0,51.0,545,1904
174,6/24/2014,42.0,60.0,51.0,545,1904
175,6/25/2014,45.0,62.0,54.0,546,1904
176,6/26/2014,48.0,64.0,56.0,546,1904
177,6/27/2014,47.0,60.0,54.0,546,1904
178,6/28/2014,47.0,59.0,53.0,546,1905
179,6/29/2014,45.0,61.0,53.0,547,1905
180,6/30/2014,43.0,61.0,52.0,547,1905
181,7/1/2014,45.0,62.0,54.0,547,1905
182,7/2/2014,47.0,61.0,54.0,548,1905
183,7/3/2014,48.0,66.0,57.0,548,1905
184,7/4/2014,47.0,65.0,56.0,548,1905
185,7/5/2014,43.0,61.0,52.0,549,1905
186,7/6/2014,40.0,58.0,49.0,549,1905
187,7/7/2014,40.0,56.0,48.0,549,1905
188,7/8/2014,44.0,55.0,50.0,550,1905
189,7/9/2014,43.0,59.0,51.0,550,1905
190,7/10/2014,43.0,62.0,53.0,550,1905
191,7/11/2014,43.0,62.0,53.0,551,1905
192,7/12/2014,42.0,61.0,52.0,551,1905
193,7/13/2014,40.0,56.0,48.0,551,1904
194,7/14/2014,41.0,51.0,46.0,552,1904
195,7/15/2014,38.0,55.0,47.0,552,1904
196,7/16/2014,39.0,52.0,46.0,553,1904
197,7/17/2014,39.0,59.0,49.0,553,1904
198,7/18/2014,37.0,59.0,48.0,553,1904
199,7/19/2014,41.0,56.0,49.0,554,1903
200,7/20/2014,41.0,51.0,46.0,554,1903
201,7/21/2014,42.0,58.0,50.0,554,1903
202,7/22/2014,43.0,52.0,48.0,555,1902
203,7/23/2014,44.0,61.0,53.0,555,1902
204,7/24/2014,45.0,62.0,54.0,556,1902
205,7/25/2014,44.0,64.0,54.0,556,1901
206,7/26/2014,42.0,57.0,50.0,556,1901
207,7/27/2014,38.0,54.0,46.0,557,1901
208,7/28/2014,35.0,58.0,47.0,557,1900
209,7/29/2014,34.0,53.0,44.0,557,1900
210,7/30/2014,38.0,56.0,47.0,558,1859
211,7/31/2014,39.0,55.0,47.0,558,1859
212,8/1/2014,44.0,62.0,53.0,558,1859
213,8/2/2014,42.0,60.0,51.0,559,1858
214,8/3/2014,43.0,60.0,52.0,559,1858
215,8/4/2014,44.0,64.0,54.0,559,1857
216,8/5/2014,43.0,61.0,52.0,600,1857
217,8/6/2014,40.0,60.0,50.0,600,1856
218,8/7/2014,41.0,50.0,46.0,600,1855
219,8/8/2014,41.0,52.0,47.0,601,1855
220,8/9/2014,39.0,57.0,48.0,601,1854
221,8/10/2014,38.0,53.0,46.0,601,1854
222,8/11/2014,39.0,56.0,48.0,602,1853
223,8/12/2014,40.0,58.0,49.0,602,1852
224,8/13/2014,41.0,62.0,52.0,602,1852
225,8/14/2014,44.0,63.0,54.0,603,1851
226,8/15/2014,45.0,63.0,54.0,603,1850
227,8/16/2014,42.0,62.0,52.0,603,1850
228,8/17/2014,39.0,58.0,49.0,603,1849
229,8/18/2014,38.0,57.0,48.0,604,1848
230,8/19/2014,36.0,55.0,46.0,604,1848
231,8/20/2014,38.0,54.0,46.0,604,1847
232,8/21/2014,40.0,56.0,48.0,604,1846
233,8/22/2014,39.0,57.0,48.0,605,1845
234,8/23/2014,43.0,60.0,52.0,605,1845
235,8/24/2014,42.0,59.0,51.0,605,1844
236,8/25/2014,41.0,60.0,51.0,605,1843
237,8/26/2014,41.0,56.0,49.0,606,1842
238,8/27/2014,40.0,55.0,48.0,606,1841
239,8/28/2014,39.0,56.0,48.0,606,1841
240,8/29/2014,38.0,55.0,47.0,606,1840
241,8/30/2014,44.0,59.0,52.0,607,1839
242,8/31/2014,42.0,60.0,51.0,607,1838
243,9/1/2014,38.0,55.0,47.0,607,1837
244,9/2/2014,42.0,59.0,51.0,607,1836
245,9/3/2014,42.0,60.0,51.0,607,1836
246,9/4/2014,44.0,58.0,51.0,608,1835
247,9/5/2014,44.0,61.0,53.0,608,1834
248,9/6/2014,41.0,58.0,50.0,608,1833
249,9/7/2014,39.0,54.0,47.0,608,1832
250,9/8/2014,39.0,53.0,46.0,608,1831
251,9/9/2014,39.0,54.0,47.0,609,1830
252,9/10/2014,40.0,55.0,48.0,609,1829
253,9/11/2014,42.0,56.0,49.0,609,1828
254,9/12/2014,39.0,60.0,50.0,609,1828
255,9/13/2014,41.0,60.0,51.0,609,1827
256,9/14/2014,42.0,59.0,51.0,610,1826
257,9/15/2014,43.0,57.0,50.0,610,1825
258,9/16/2014,40.0,52.0,46.0,610,1824
259,9/17/2014,39.0,53.0,46.0,610,1823
260,9/18/2014,37.0,55.0,46.0,610,1822
261,9/19/2014,40.0,54.0,47.0,611,1821
262,9/20/2014,41.0,51.0,46.0,611,1820
263,9/21/2014,38.0,52.0,45.0,611,1819
264,9/22/2014,40.0,56.0,48.0,611,1819
265,9/23/2014,41.0,59.0,50.0,611,1818
266,9/24/2014,41.0,58.0,50.0,612,1817
267,9/25/2014,40.0,56.0,48.0,612,1816
268,9/26/2014,41.0,61.0,51.0,612,1815
269,9/27/2014,42.0,52.0,47.0,612,1814
270,9/28/2014,42.0,56.0,49.0,612,1813
271,9/29/2014,40.0,54.0,47.0,613,1812
272,9/30/2014,35.0,52.0,44.0,613,1811
273,10/1/2014,37.0,53.0,45.0,613,1811
274,10/2/2014,38.0,52.0,45.0,613,1810
275,10/3/2014,36.0,52.0,44.0,614,1809
276,10/4/2014,38.0,52.0,45.0,614,1808
277,10/5/2014,40.0,52.0,46.0,614,1807
278,10/6/2014,38.0,54.0,46.0,614,1806
279,10/7/2014,42.0,53.0,48.0,615,1805
280,10/8/2014,42.0,56.0,49.0,615,1805
281,10/9/2014,42.0,60.0,51.0,615,1804
282,10/10/2014,39.0,58.0,49.0,615,1803
283,10/11/2014,39.0,54.0,47.0,616,1802
284,10/12/2014,36.0,53.0,45.0,616,1801
285,10/13/2014,33.0,53.0,43.0,616,1801
286,10/14/2014,37.0,54.0,46.0,616,1800
287,10/15/2014,39.0,58.0,49.0,617,1759
288,10/16/2014,43.0,61.0,52.0,617,1758
289,10/17/2014,44.0,51.0,48.0,617,1758
290,10/18/2014,43.0,48.0,46.0,618,1757
291,10/19/2014,42.0,54.0,48.0,618,1756
292,10/20/2014,41.0,60.0,51.0,618,1755
293,10/21/2014,38.0,59.0,49.0,619,1755
294,10/22/2014,41.0,55.0,48.0,619,1754
295,10/23/2014,36.0,56.0,46.0,620,1753
296,10/24/2014,40.0,58.0,49.0,620,1753
297,10/25/2014,39.0,58.0,49.0,620,1752
298,10/26/2014,37.0,59.0,48.0,621,1752
299,10/27/2014,39.0,55.0,47.0,621,1751
300,10/28/2014,40.0,58.0,49.0,622,1750
301,10/29/2014,41.0,57.0,49.0,622,1750
302,10/30/2014,39.0,56.0,48.0,622,1749
303,10/31/2014,37.0,56.0,47.0,623,1749
304,11/1/2014,37.0,51.0,44.0,623,1748
305,11/2/2014,41.0,54.0,48.0,624,1748
306,11/3/2014,40.0,54.0,47.0,624,1747
307,11/4/2014,37.0,48.0,43.0,625,1747
308,11/5/2014,39.0,56.0,48.0,625,1746
309,11/6/2014,43.0,56.0,50.0,626,1746
310,11/7/2014,38.0,57.0,48.0,626,1746
311,11/8/2014,36.0,55.0,46.0,627,1745
312,11/9/2014,37.0,59.0,48.0,627,1745
313,11/10/2014,42.0,60.0,51.0,628,1745
314,11/11/2014,42.0,57.0,50.0,628,1744
315,11/12/2014,41.0,56.0,49.0,629,1744
316,11/13/2014,39.0,56.0,48.0,629,1744
317,11/14/2014,38.0,54.0,46.0,630,1743
318,11/15/2014,37.0,51.0,44.0,630,1743
319,11/16/2014,38.0,55.0,47.0,631,1743
320,11/17/2014,42.0,57.0,50.0,632,1743
321,11/18/2014,38.0,56.0,47.0,632,1743
322,11/19/2014,37.0,56.0,47.0,633,1743
323,11/20/2014,39.0,51.0,45.0,633,1742
324,11/21/2014,39.0,55.0,47.0,634,1742
325,11/22/2014,38.0,54.0,46.0,635,1742
326,11/23/2014,33.0,53.0,43.0,635,1742
327,11/24/2014,41.0,59.0,50.0,636,1742
328,11/25/2014,42.0,59.0,51.0,636,1742
329,11/26/2014,41.0,55.0,48.0,637,1742
330,11/27/2014,39.0,57.0,48.0,638,1742
331,11/28/2014,38.0,56.0,47.0,638,1742
332,11/29/2014,35.0,54.0,45.0,639,1742
333,11/30/2014,35.0,50.0,43.0,640,1742
334,12/1/2014,35.0,52.0,44.0,640,1743
335,12/2/2014,35.0,51.0,43.0,641,1743
336,12/3/2014,38.0,51.0,45.0,641,1743
337,12/4/2014,42.0,52.0,47.0,642,1743
338,12/5/2014,39.0,50.0,45.0,643,1743
339,12/6/2014,36.0,51.0,44.0,643,1743
340,12/7/2014,36.0,56.0,46.0,644,1744
341,12/8/2014,38.0,58.0,48.0,645,1744
342,12/9/2014,39.0,56.0,48.0,645,1744
343,12/10/2014,39.0,60.0,50.0,646,1745
344,12/11/2014,42.0,60.0,51.0,646,1745
345,12/12/2014,37.0,55.0,46.0,647,1745
346,12/13/2014,37.0,56.0,47.0,648,1746
347,12/14/2014,38.0,56.0,47.0,648,1746
348,12/15/2014,40.0,57.0,49.0,649,1746
349,12/16/2014,40.0,57.0,49.0,649,1747
350,12/17/2014,38.0,57.0,48.0,650,1747
351,12/18/2014,40.0,56.0,48.0,650,1748
352,12/19/2014,42.0,59.0,51.0,651,1748
353,12/20/2014,39.0,56.0,48.0,651,1749
354,12/21/2014,36.0,52.0,44.0,652,1749
355,12/22/2014,31.0,47.0,39.0,652,1750
356,12/23/2014,31.0,41.0,36.0,653,1750
357,12/24/2014,36.0,45.0,41.0,653,1751
358,12/25/2014,40.0,54.0,47.0,654,1751
359,12/26/2014,41.0,53.0,47.0,654,1752
360,12/27/2014,37.0,51.0,44.0,655,1752
361,12/28/2014,39.0,56.0,48.0,655,1753
362,12/29/2014,36.0,54.0,45.0,655,1753
363,12/30/2014,36.0,53.0,45.0,656,1754
364,12/31/2014,34.0,53.0,44.0,656,1755
365,1/1/2015,38.0,51.0,45.0,657,1756
366,1/2/2015,34.0,40.0,37.0,657,1756
367,1/3/2015,29.0,36.0,33.0,657,1757
368,1/4/2015,31.0,44.0,38.0,658,1757
369,1/5/2015,37.0,51.0,44.0,658,1758
370,1/6/2015,38.0,52.0,45.0,658,1759
371,1/7/2015,38.0,54.0,46.0,658,1759
372,1/8/2015,38.0,57.0,48.0,659,1800
373,1/9/2015,36.0,55.0,46.0,659,1801
374,1/10/2015,34.0,51.0,43.0,659,1801
375,1/11/2015,38.0,54.0,46.0,659,1802
376,1/12/2015,40.0,57.0,49.0,659,1803
377,1/13/2015,41.0,56.0,49.0,659,1803
378,1/14/2015,35.0,58.0,47.0,659,1804
379,1/15/2015,38.0,58.0,48.0,659,1804
380,1/16/2015,40.0,56.0,48.0,700,1805
381,1/17/2015,38.0,58.0,48.0,700,1806
382,1/18/2015,37.0,57.0,47.0,700,1806
383,1/19/2015,37.0,59.0,48.0,700,1807
384,1/20/2015,36.0,56.0,46.0,659,1808
385,1/21/2015,40.0,58.0,49.0,659,1808
386,1/22/2015,39.0,54.0,47.0,659,1809
387,1/23/2015,43.0,65.0,54.0,659,1810
388,1/24/2015,41.0,61.0,51.0,659,1810
389,1/25/2015,40.0,55.0,48.0,659,1811
390,1/26/2015,42.0,59.0,51.0,659,1811
391,1/27/2015,36.0,58.0,47.0,659,1812
392,1/28/2015,36.0,54.0,45.0,658,1813
393,1/29/2015,35.0,54.0,45.0,658,1813
394,1/30/2015,36.0,54.0,45.0,658,1814
395,1/31/2015,33.0,53.0,43.0,658,1814
396,2/1/2015,36.0,53.0,45.0,657,1815
397,2/2/2015,38.0,54.0,46.0,657,1816
398,2/3/2015,41.0,54.0,48.0,657,1816
399,2/4/2015,39.0,50.0,45.0,656,1817
400,2/5/2015,38.0,50.0,44.0,656,1817
401,2/6/2015,33.0,47.0,40.0,655,1818
402,2/7/2015,32.0,54.0,43.0,655,1818
403,2/8/2015,43.0,59.0,51.0,655,1819
404,2/9/2015,42.0,55.0,49.0,654,1819
405,2/10/2015,35.0,50.0,43.0,654,1820
406,2/11/2015,34.0,54.0,44.0,653,1820
407,2/12/2015,37.0,53.0,45.0,653,1821
408,2/13/2015,40.0,54.0,47.0,652,1821
409,2/14/2015,38.0,57.0,48.0,652,1822
410,2/15/2015,37.0,51.0,44.0,651,1822
411,2/16/2015,37.0,53.0,45.0,651,1823
412,2/17/2015,36.0,54.0,45.0,650,1823
413,2/18/2015,36.0,54.0,45.0,649,1823
414,2/19/2015,38.0,56.0,47.0,649,1824
415,2/20/2015,39.0,54.0,47.0,648,1824
416,2/21/2015,36.0,51.0,44.0,647,1825
417,2/22/2015,35.0,52.0,44.0,647,1825
418,2/23/2015,40.0,53.0,47.0,646,1825
419,2/24/2015,40.0,56.0,48.0,646,1826
420,2/25/2015,39.0,57.0,48.0,645,1826
421,2/26/2015,36.0,48.0,42.0,644,1827
422,2/27/2015,35.0,49.0,42.0,643,1827
423,2/28/2015,35.0,44.0,40.0,643,1827
424,3/1/2015,33.0,44.0,39.0,642,1828
425,3/2/2015,32.0,43.0,38.0,641,1828
426,3/3/2015,33.0,46.0,40.0,640,1828
427,3/4/2015,33.0,39.0,36.0,640,1829
428,3/5/2015,33.0,48.0,41.0,639,1829
429,3/6/2015,35.0,49.0,42.0,638,1829
430,3/7/2015,38.0,53.0,46.0,637,1830
431,3/8/2015,32.0,46.0,39.0,637,1830
432,3/9/2015,33.0,37.0,35.0,636,1830
433,3/10/2015,34.0,42.0,38.0,635,1831
434,3/11/2015,31.0,37.0,34.0,634,1831
435,3/12/2015,32.0,39.0,36.0,633,1831
436,3/13/2015,31.0,41.0,36.0,632,1832
437,3/14/2015,31.0,47.0,39.0,632,1832
438,3/15/2015,33.0,51.0,42.0,631,1832
439,3/16/2015,36.0,54.0,45.0,630,1832
440,3/17/2015,36.0,57.0,47.0,629,1833
441,3/18/2015,36.0,57.0,47.0,628,1833
442,3/19/2015,39.0,60.0,50.0,627,1833
443,3/20/2015,38.0,61.0,50.0,626,1833
444,3/21/2015,41.0,60.0,51.0,626,1834
445,3/22/2015,37.0,56.0,47.0,625,1834
446,3/23/2015,38.0,58.0,48.0,624,1834
447,3/24/2015,36.0,56.0,46.0,623,1834
448,3/25/2015,38.0,54.0,46.0,622,1835
449,3/26/2015,34.0,59.0,47.0,621,1835
450,3/27/2015,39.0,58.0,49.0,620,1835
451,3/28/2015,42.0,58.0,50.0,620,1835
452,3/29/2015,39.0,57.0,48.0,619,1836
453,3/30/2015,36.0,54.0,45.0,618,1836
454,3/31/2015,31.0,50.0,41.0,617,1836
455,4/1/2015,32.0,49.0,41.0,616,1836
456,4/2/2015,31.0,49.0,40.0,615,1837
457,4/3/2015,35.0,50.0,43.0,614,1837
458,4/4/2015,39.0,51.0,45.0,614,1837
459,4/5/2015,35.0,53.0,44.0,613,1838
460,4/6/2015,35.0,52.0,44.0,612,1838
461,4/7/2015,33.0,47.0,40.0,611,1838
462,4/8/2015,33.0,52.0,43.0,610,1838
463,4/9/2015,34.0,51.0,43.0,610,1839
464,4/10/2015,35.0,49.0,42.0,609,1839
465,4/11/2015,35.0,48.0,42.0,608,1839
466,4/12/2015,33.0,48.0,41.0,607,1839
467,4/13/2015,36.0,53.0,45.0,606,1840
468,4/14/2015,39.0,52.0,46.0,606,1840
469,4/15/2015,37.0,48.0,43.0,605,1840
470,4/16/2015,34.0,47.0,41.0,604,1841
471,4/17/2015,34.0,50.0,42.0,603,1841
472,4/18/2015,37.0,53.0,45.0,602,1841
473,4/19/2015,40.0,58.0,49.0,602,1841
474,4/20/2015,39.0,60.0,50.0,601,1842
475,4/21/2015,43.0,63.0,53.0,600,1842
476,4/22/2015,40.0,60.0,50.0,600,1842
477,4/23/2015,39.0,57.0,48.0,559,1843
478,4/24/2015,43.0,58.0,51.0,558,1843
479,4/25/2015,43.0,57.0,50.0,558,1843
480,4/26/2015,41.0,55.0,48.0,557,1844
481,4/27/2015,37.0,54.0,46.0,556,1844
482,4/28/2015,33.0,55.0,44.0,556,1844
483,4/29/2015,37.0,59.0,48.0,555,1845
484,4/30/2015,36.0,57.0,47.0,554,1845
485,5/1/2015,37.0,53.0,45.0,554,1845
486,5/2/2015,35.0,50.0,43.0,553,1846
487,5/3/2015,33.0,53.0,43.0,553,1846
488,5/4/2015,40.0,55.0,48.0,552,1846
489,5/5/2015,42.0,59.0,51.0,552,1847
490,5/6/2015,42.0,63.0,53.0,551,1847
491,5/7/2015,41.0,59.0,50.0,550,1847
492,5/8/2015,38.0,59.0,49.0,550,1848
493,5/9/2015,38.0,54.0,46.0,550,1848
494,5/10/2015,36.0,51.0,44.0,549,1849
495,5/11/2015,37.0,55.0,46.0,549,1849
496,5/12/2015,37.0,51.0,44.0,548,1849
497,5/13/2015,33.0,45.0,39.0,548,1850
498,5/14/2015,31.0,49.0,40.0,547,1850
499,5/15/2015,32.0,52.0,42.0,547,1851
500,5/16/2015,33.0,56.0,45.0,547,1851
501,5/17/2015,38.0,60.0,49.0,546,1851
502,5/18/2015,38.0,58.0,48.0,546,1852
503,5/19/2015,39.0,55.0,47.0,546,1852
504,5/20/2015,39.0,54.0,47.0,545,1853
505,5/21/2015,37.0,55.0,46.0,545,1853
506,5/22/2015,39.0,59.0,49.0,545,1853
507,5/23/2015,41.0,55.0,48.0,545,1854
508,5/24/2015,39.0,59.0,49.0,544,1854
509,5/25/2015,42.0,62.0,52.0,544,1855
510,5/26/2015,43.0,64.0,54.0,544,1855
511,5/27/2015,44.0,57.0,51.0,544,1855
512,5/28/2015,43.0,60.0,52.0,544,1856
513,5/29/2015,44.0,62.0,53.0,543,1856
514,5/30/2015,41.0,54.0,48.0,543,1856
515,5/31/2015,39.0,52.0,46.0,543,1857
516,6/1/2015,38.0,54.0,46.0,543,1857
517,6/2/2015,41.0,56.0,49.0,543,1858
518,6/3/2015,41.0,55.0,48.0,543,1858
519,6/4/2015,39.0,55.0,47.0,543,1858
520,6/5/2015,37.0,53.0,45.0,543,1859
521,6/6/2015,36.0,55.0,46.0,543,1859
522,6/7/2015,40.0,54.0,47.0,543,1859
523,6/8/2015,38.0,56.0,47.0,543,1900
524,6/9/2015,38.0,53.0,46.0,543,1900
525,6/10/2015,37.0,49.0,43.0,543,1900
526,6/11/2015,34.0,46.0,40.0,543,1901
527,6/12/2015,32.0,50.0,41.0,543,1901
528,6/13/2015,39.0,52.0,46.0,543,1901
529,6/14/2015,42.0,57.0,50.0,544,1902
530,6/15/2015,41.0,63.0,52.0,544,1902
531,6/16/2015,48.0,61.0,55.0,544,1902
532,6/17/2015,46.0,65.0,56.0,544,1902
533,6/18/2015,45.0,67.0,56.0,544,1903
534,6/19/2015,43.0,61.0,52.0,544,1903
535,6/20/2015,43.0,60.0,52.0,545,1903
